label,family,hero,avg_ev_4x,avg_ev_check,avg_best_ev,switch_gain,weight,combos,dollar_contribution
KJs,any_kx,Kc Jc,1.204666956,0.758673743,1.206683033,0.002016077,0.003016591252,4,0.006081680
KQo,any_kx,Kc Qd,0.796448994,0.385279972,0.801242561,0.004793568,0.009049773756,12,0.043380702
KQs,any_kx,Kc Qc,1.288179314,0.804492774,1.289468764,0.001289451,0.003016591252,4,0.003889746
KTo,any_kx,Kc Td,0.632136284,0.290014873,0.636451314,0.004315029,0.009049773756,12,0.039050040
KTs,any_kx,Kc Tc,1.158018741,0.736342375,1.159794474,0.001775733,0.003016591252,4,0.005356660
Q2o,any_qx,Qc 2d,-0.789214285,-0.454802410,-0.454650949,0.000151461,0.009049773756,12,0.001370687
Q2s,any_qx,Qc 2c,-0.392240368,-0.215298053,-0.200820368,0.014477685,0.003016591252,4,0.043673259
Q3o,any_qx,Qc 3d,-0.656258512,-0.389644682,-0.387470635,0.002174047,0.009049773756,12,0.019674633
Q3s,any_qx,Qc 3c,-0.276832628,-0.157241205,-0.132388691,0.024852514,0.003016591252,4,0.074969876
Q4o,any_qx,Qc 4d,-0.562950850,-0.344922811,-0.337028184,0.007894627,0.009049773756,12,0.071444585
Q4s,any_qx,Qc 4c,-0.217805231,-0.129905435,-0.094120093,0.035785342,0.003016591252,4,0.107949750
Q5o,any_qx,Qc 5d,-0.459145216,-0.296357652,-0.278423305,0.017934347,0.009049773756,12,0.162301779
Q5s,any_qx,Qc 5c,-0.098628692,-0.070388537,-0.010015828,0.060372709,0.003016591252,4,0.182119786
Q6o,any_qx,Qc 6d,-0.362560063,-0.248075006,-0.220432000,0.027643006,0.009049773756,12,0.250162950
Q6s,any_qx,Qc 6c,-0.031292329,-0.037923704,0.038653086,0.069945414,0.003016591252,4,0.210996725
Q7o,any_qx,Qc 7d,-0.254396191,-0.191977243,-0.143528524,0.048448719,0.009049773756,12,0.438449948
Q7s,any_qx,Qc 7c,0.070234410,0.015876075,0.121904631,0.051670220,0.003016591252,4,0.155867934
