label,hero,family,baseline_action,weight,samples,avg_ev_4x,avg_ev_check,avg_best_ev,avg_baseline_ev,avg_gain_vs_baseline,median_gain_vs_baseline,p05_gain_vs_baseline,p95_gain_vs_baseline,gain_sd,gain_se,gain_ci95_low,gain_ci95_high,check_better_rate,positive_gain_rate,weighted_gain_contribution,weighted_gain_se,elapsed_seconds
22,2c 2d,pairs_22_55,4x,0.004524886877828055,1000,-0.28408034046,-0.174999349644,-0.145819510348,-0.28408034046,0.138260830112,0.0,0.0,0.4183840042499997,0.18696511017971457,0.00591235591152231,0.12667261252541626,0.14984904769858373,0.499,0.499,0.0006256146158914028,2.675274168109643e-05,771.2568528652191
33,3c 3d,pairs_22_55,4x,0.004524886877828055,1000,0.089867447584,0.016156023901,0.147824253339,0.089867447584,0.057956805755,0.0,0.0,0.30751520270000005,0.12049639019893052,0.0038104304285701005,0.0504883621150026,0.0654252493949974,0.328,0.328,0.000262247989841629,1.724176664511358e-05,772.9624011516571
44,4c 4d,pairs_22_55,4x,0.004524886877828055,1000,0.442323636519,0.20782076424,0.45866037335,0.442323636519,0.016336736831,0.0,0.0,0.1152406106999997,0.06148336218291058,0.001944274627030595,0.012525958562020033,0.020147515099979967,0.12,0.12,7.392188611312217e-05,8.797622746744774e-06,816.3541040420532
55,5c 5d,pairs_22_55,4x,0.004524886877828055,1000,0.829192980143,0.437013082189,0.832241503369,0.829192980143,0.003048523226,0.0,0.0,0.0,0.02003590061101691,0.0006335908090357276,0.001806685240289974,0.004290361211710026,0.035,0.035,1.379422274208145e-05,2.8669267377182246e-06,792.4765026569366
A2s,Ac 2c,ax_below_at,4x,0.0030165912518853697,1000,0.390653903246,0.164296644205,0.396663543369,0.390653903246,0.006009640123,0.0,0.0,0.024462757799999922,0.03140889887835423,0.0009932365925350724,0.004062896401631258,0.007956383844368742,0.066,0.066,1.8128627822021116e-05,2.996188816093733e-06,823.1756250858307
A2o,Ac 2d,ax_below_at,4x,0.00904977375565611,1000,0.045151366893,-0.07534625581,0.065902679281,0.045151366893,0.020751312388,0.0,0.0,0.15802296130000001,0.055840028158187525,0.0017658167358780967,0.01729031158567893,0.02421231319032107,0.205,0.205,0.00018779468224434392,1.5980241953647936e-05,770.2631590366364
A3s,Ac 3c,ax_below_at,4x,0.0030165912518853697,1000,0.494426722839,0.22431948949,0.497187167924,0.494426722839,0.002760445085,0.0,0.0,0.0,0.019767959869222036,0.0006251177788154589,0.0015352142385217007,0.003985675931478299,0.038,0.038,8.327134494720965e-06,1.8857248229727268e-06,792.2401642799377
A3o,Ac 3d,ax_below_at,4x,0.00904977375565611,1000,0.126328889124,-0.032787559239,0.138673822703,0.126328889124,0.012344933579,0.0,0.0,0.09790997819999987,0.0453876233976175,0.0014352826751842147,0.009531779535638938,0.015158087622361061,0.136,0.136,0.00011171885591855205,1.2988983485829998e-05,932.28457903862
A4s,Ac 4c,ax_below_at,4x,0.0030165912518853697,1000,0.56723642304,0.263166198017,0.569644991028,0.56723642304,0.002408567988,0.0,0.0,0.0,0.018203087826042505,0.000575632179783772,0.0012803289156238067,0.003536807060376193,0.026,0.026,7.265665122171945e-06,1.736446997839433e-06,908.7581081390381
A4o,Ac 4d,ax_below_at,4x,0.00904977375565611,1000,0.233907068189,0.027211350436,0.241489439983,0.233907068189,0.007582371794,0.0,0.0,0.05122643839999978,0.03393859887574054,0.0010732327304217,0.005478835642373468,0.009685907945626532,0.085,0.085,6.861874926696833e-05,9.712513397481448e-06,753.7340168952942
A5s,Ac 5c,ax_below_at,4x,0.0030165912518853697,1000,0.696045619186,0.335330980662,0.696866693735,0.696045619186,0.0008210745490000001,0.0,0.0,0.0,0.009528030073490063,0.0003013027664681011,0.00023052112672252193,0.001411627971277478,0.016,0.016,2.4768463016591253e-06,9.089072894965343e-07,769.7525298595428
A5o,Ac 5d,ax_below_at,4x,0.00904977375565611,1000,0.349582292455,0.09112375925,0.35294917574,0.349582292455,0.003366883285,0.0,0.0,0.0,0.021318974461401324,0.0006741651667698962,0.002045519558131003,0.004688247011868997,0.043,0.043,3.046953199095023e-05,6.101042233211731e-06,752.434424161911
A6s,Ac 6c,ax_below_at,4x,0.0030165912518853697,1000,0.646628788159,0.287519049915,0.646837068106,0.646628788159,0.00020827994699999992,0.0,0.0,0.0,0.0029919388115598996,9.461341264386601e-05,2.283765821802254e-05,0.00039372223578197727,0.007,0.007,6.282954660633482e-07,2.8540999289250685e-07,776.512943983078
A6o,Ac 6d,ax_below_at,4x,0.00904977375565611,1000,0.351336602891,0.08104259819,0.352902325328,0.351336602891,0.0015657224370000005,0.0,0.0,0.0,0.013817279754785654,0.000436940750928555,0.0007093185651800328,0.002422126308819968,0.025,0.025,1.4169433819004531e-05,3.9542149405299095e-06,750.9055209159851
A7s,Ac 7c,ax_below_at,4x,0.0030165912518853697,1000,0.768570720637,0.35894282082,0.768822279162,0.768570720637,0.00025155852500000005,0.0,0.0,0.0,0.0049703358226350905,0.0001571758193545357,-5.6506080934889925e-05,0.0005596231309348901,0.003,0.003,7.588492458521872e-07,4.741352016728076e-07,750.2106058597565
A7o,Ac 7d,ax_below_at,4x,0.00904977375565611,1000,0.466773143018,0.145114015274,0.468833644322,0.466773143018,0.002060501304,0.0,0.0,0.0,0.018762265246612023,0.0005933149224351476,0.0008976040560271104,0.003223398551972889,0.017,0.017,1.864707062443439e-05,5.369365813892739e-06,740.2281651496887
A8s,Ac 8c,ax_below_at,4x,0.0030165912518853697,1000,0.859226072428,0.408780038101,0.85941972236,0.859226072428,0.00019364993199999996,0.0,0.0,0.0,0.0043289227160411255,0.00013689255597532275,-7.46594777116326e-05,0.00046195934171163253,0.002,0.002,5.841626907993966e-07,4.129488868033869e-07,743.7784278392792
A8o,Ac 8d,ax_below_at,4x,0.00904977375565611,1000,0.576104967114,0.206738257892,0.576898377582,0.576104967114,0.0007934104679999999,0.0,0.0,0.0,0.01074241435831723,0.00033970496941578617,0.00012758872794505903,0.0014592322080549409,0.013,0.013,7.180185230769231e-06,3.074253116884943e-06,735.515016078949
A9s,Ac 9c,ax_below_at,4x,0.0030165912518853697,1000,0.952260748267,0.462114658488,0.95245414318,0.952260748267,0.00019339491299999996,0.0,0.0,0.0,0.004980930056266464,0.0001575108384379267,-0.00011532633033833637,0.0005021161563383363,0.002,0.002,5.83393402714932e-07,4.751458173089795e-07,742.959635257721
A9o,Ac 9d,ax_below_at,4x,0.00904977375565611,1000,0.672691568688,0.262603936197,0.673824976983,0.672691568688,0.001133408295,0.0,0.0,0.0,0.011734339029456845,0.0003710723816969328,0.00040610642687401166,0.0018607101631259882,0.015,0.015,1.0257088642533936e-05,3.358121101329709e-06,737.6865668296814
K2s,Kc 2c,any_kx,4x,0.0030165912518853697,1000,-0.07951944671,-0.080846272079,-0.011417906181000002,-0.07951944671,0.068101540529,0.0,0.0,0.30520857895,0.1136802049808838,0.00359488372614411,0.061055568425757545,0.07514751263224245,0.459,0.459,0.00020543451139969836,1.0844294799831402e-05,741.2764432430267
K2o,Kc 2d,any_kx,4x,0.00904977375565611,1000,-0.444835453944,-0.311705330235,-0.292303963439,-0.444835453944,0.152531490505,0.10194733550000001,0.0,0.45744728625,0.15442664243633086,0.004883399215112193,0.1429600280433801,0.16210295296661992,0.77,0.77,0.001380375479683258,4.4193658055313964e-05,734.1370937824249
K3s,Kc 3c,any_kx,4x,0.0030165912518853697,1000,0.010774126149,-0.033440292438,0.056485229398,0.010774126149,0.045711103249,0.0,0.0,0.2482674722499999,0.08420221264882026,0.0026627077599611164,0.04049219603947621,0.050930010458523786,0.376,0.376,0.0001378917141749623,8.032300935025992e-06,742.2721691131592
K3o,Kc 3d,any_kx,4x,0.00904977375565611,1000,-0.323738960207,-0.249461321596,-0.212037774542,-0.323738960207,0.111701185665,0.04548514849999999,0.0,0.3993767417,0.1394220041362388,0.004408910890159313,0.10305972032028773,0.12034265100971225,0.628,0.628,0.0010108704585067873,3.9899646064790166e-05,740.4241449832916
K4s,Kc 4c,any_kx,4x,0.0030165912518853697,1000,0.102359306639,0.014544260688,0.134044347344,0.102359306639,0.031685040705,0.0,0.0,0.18979154759999986,0.07222272825269678,0.002283883201099147,0.027208629630845672,0.03616145177915433,0.281,0.281,9.558081660633484e-05,6.889542084763641e-06,758.2977058887482
K4o,Kc 4d,any_kx,4x,0.00904977375565611,1000,-0.224780207731,-0.19878363218,-0.144080619226,-0.224780207731,0.080699588505,0.0,0.0,0.3535010916,0.1235869507261474,0.003908162533696261,0.07303958993895533,0.08835958707104467,0.483,0.483,0.0007303130181447964,3.536798673028291e-05,739.5011038780212
K5s,Kc 5c,any_kx,4x,0.0030165912518853697,1000,0.220351967883,0.077185143797,0.239749431804,0.220351967883,0.019397463921,0.0,0.0,0.15086887859999995,0.05504238881596511,0.0017405931651502833,0.015985901317305443,0.022809026524694555,0.189,0.189,5.8514219972850674e-05,5.2506581150838116e-06,746.5678718090057
K5o,Kc 5d,any_kx,4x,0.00904977375565611,1000,-0.121017722334,-0.147259372336,-0.065724198388,-0.121017722334,0.055293523946,0.0,0.0,0.29542652890000004,0.0981046065186834,0.003102340055536417,0.04921293743714862,0.061374110454851374,0.394,0.394,0.0005003938818642534,2.8075475615714183e-05,740.8017530441284
K6s,Kc 6c,any_kx,4x,0.0030165912518853697,1000,0.299038344182,0.115836566073,0.312447011979,0.299038344182,0.013408667797,0.0,0.0,0.10312813894999973,0.04479896789956854,0.0014166677538740595,0.010631998999406844,0.016185336594593158,0.136,0.136,4.0448469975867274e-05,4.273507553164584e-06,746.8970990180969
