label,hero,outs,samples,avg_ev_4x,avg_ev_check,avg_best_ev,avg_check_minus_4x,check_better_rate,preferred_action_by_average
A9s,Ac 9c,0,235,1.333244688,0.702444249,1.333244688,-0.630800440,0.000000,4x
A9s,Ac 9c,1,430,1.021130355,0.500295713,1.021130355,-0.520834642,0.000000,4x
A9s,Ac 9c,2,246,0.689748342,0.297938300,0.689748342,-0.391810042,0.000000,4x
A9s,Ac 9c,3,82,0.375673743,0.117479666,0.375673743,-0.258194077,0.000000,4x
A9s,Ac 9c,4,6,-0.012903525,-0.103558060,-0.006007926,-0.090654535,0.166667,4x
A9s,Ac 9c,5,1,-0.543724138,-0.391702817,-0.391702817,0.152021321,1.000000,check
J2o,Jc 2d,0,235,-0.522100735,-0.276510189,-0.276510189,0.245590547,1.000000,check
J2o,Jc 2d,1,411,-0.981163766,-0.518341341,-0.518341341,0.462822425,1.000000,check
J2o,Jc 2d,2,278,-1.452391171,-0.754713749,-0.754713749,0.697677422,1.000000,check
J2o,Jc 2d,3,70,-1.913607527,-0.969724602,-0.969724602,0.943882925,1.000000,check
J2o,Jc 2d,4,6,-2.502684869,-1.240586295,-1.240586295,1.262098573,1.000000,check
J2s,Jc 2c,0,240,-0.202835738,-0.082235884,-0.075780922,0.120599854,0.875000,check
J2s,Jc 2c,1,411,-0.622617473,-0.307308110,-0.307308110,0.315309363,1.000000,check
J2s,Jc 2c,2,250,-1.013776030,-0.504173872,-0.504173872,0.509602158,1.000000,check
J2s,Jc 2c,3,81,-1.366128217,-0.657243260,-0.657243260,0.708884957,1.000000,check
J2s,Jc 2c,4,16,-1.771044922,-0.813233844,-0.813233844,0.957811077,1.000000,check
J2s,Jc 2c,5,2,-2.519374213,-1.147307483,-1.147307483,1.372066730,1.000000,check
J3o,Jc 3d,0,232,-0.427458246,-0.228872045,-0.228872045,0.198586200,1.000000,check
J3o,Jc 3d,1,446,-0.865023962,-0.463591430,-0.463591430,0.401432532,1.000000,check
J3o,Jc 3d,2,245,-1.318893998,-0.691555956,-0.691555956,0.627338042,1.000000,check
J3o,Jc 3d,3,70,-1.821573684,-0.929391034,-0.929391034,0.892182649,1.000000,check
J3o,Jc 3d,4,7,-2.219859413,-1.099049208,-1.099049208,1.120810205,1.000000,check
J3s,Jc 3c,0,234,-0.116640486,-0.038004676,-0.025474316,0.078635810,0.790598,check
J3s,Jc 3c,1,402,-0.518848412,-0.258230352,-0.258230352,0.260618060,1.000000,check
J3s,Jc 3c,2,260,-0.881524303,-0.435760602,-0.435760602,0.445763702,1.000000,check
J3s,Jc 3c,3,92,-1.301301002,-0.637199144,-0.637199144,0.664101858,1.000000,check
J3s,Jc 3c,4,12,-1.739864492,-0.824861513,-0.824861513,0.915002979,1.000000,check
J4o,Jc 4d,0,257,-0.323647312,-0.177754170,-0.177642525,0.145893142,0.992218,check
J4o,Jc 4d,1,417,-0.782917538,-0.423761410,-0.423761410,0.359156128,1.000000,check
J4o,Jc 4d,2,242,-1.214422764,-0.643770717,-0.643770717,0.570652047,1.000000,check
J4o,Jc 4d,3,71,-1.683870293,-0.870672510,-0.870672510,0.813197783,1.000000,check
J4o,Jc 4d,4,11,-2.187517290,-1.086089489,-1.086089489,1.101427802,1.000000,check
J4o,Jc 4d,5,2,-2.661432280,-1.296422949,-1.296422949,1.365009331,1.000000,check
J4s,Jc 4c,0,251,-0.031548163,0.003647656,0.029226727,0.035195819,0.621514,check
J4s,Jc 4c,1,379,-0.386088909,-0.187552000,-0.187041651,0.198536909,0.970976,check
J4s,Jc 4c,2,281,-0.829247467,-0.418615777,-0.418615777,0.410631689,1.000000,check
J4s,Jc 4c,3,80,-1.188129652,-0.580647001,-0.580647001,0.607482651,1.000000,check
J4s,Jc 4c,4,8,-1.704295091,-0.837741745,-0.837741745,0.866553346,1.000000,check
J4s,Jc 4c,5,1,-2.046901497,-0.990013740,-0.990013740,1.056887757,1.000000,check
J5o,Jc 5d,0,233,-0.229861842,-0.134955841,-0.133424568,0.094906002,0.931330,check
J5o,Jc 5d,1,441,-0.657239556,-0.367246263,-0.367246263,0.289993293,1.000000,check
J5o,Jc 5d,2,245,-1.088373483,-0.588775341,-0.588775341,0.499598142,1.000000,check
J5o,Jc 5d,3,70,-1.552256218,-0.814750088,-0.814750088,0.737506130,1.000000,check
J5o,Jc 5d,4,11,-2.019225868,-1.015046940,-1.015046940,1.004178928,1.000000,check
J5s,Jc 5c,0,227,0.082209161,0.062805149,0.115187848,-0.019404012,0.409692,4x
J5s,Jc 5c,1,408,-0.302584977,-0.148983072,-0.145193876,0.153601904,0.904412,check
J5s,Jc 5c,2,274,-0.682605721,-0.347022610,-0.347022610,0.335583111,1.000000,check
J5s,Jc 5c,3,75,-1.059413253,-0.530074184,-0.530074184,0.529339069,1.000000,check
J5s,Jc 5c,4,15,-1.579308236,-0.762934897,-0.762934897,0.816373339,1.000000,check
J5s,Jc 5c,5,1,-1.697740016,-0.776329866,-0.776329866,0.921410150,1.000000,check
J6o,Jc 6d,0,205,-0.148344417,-0.092646053,-0.084490586,0.055698364,0.756098,check
J6o,Jc 6d,1,427,-0.582044607,-0.330545874,-0.330545874,0.251498733,1.000000,check
J6o,Jc 6d,2,291,-1.053001747,-0.570252187,-0.570252187,0.482749560,1.000000,check
J6o,Jc 6d,3,71,-1.518585031,-0.800556209,-0.800556209,0.718028822,1.000000,check
J6o,Jc 6d,4,6,-2.128400464,-1.104885666,-1.104885666,1.023514798,1.000000,check
J6s,Jc 6c,0,223,0.141999908,0.090263169,0.162352920,-0.051736739,0.313901,4x
J6s,Jc 6c,1,446,-0.229672456,-0.116420716,-0.109949251,0.113251741,0.867713,check
J6s,Jc 6c,2,246,-0.634728172,-0.325804274,-0.325804274,0.308923898,1.000000,check
J6s,Jc 6c,3,76,-0.994535877,-0.499043621,-0.499043621,0.495492256,1.000000,check
J6s,Jc 6c,4,9,-1.614729291,-0.800523264,-0.800523264,0.814206027,1.000000,check
J7o,Jc 7d,0,247,0.049725955,0.016069553,0.067204745,-0.033656402,0.331984,4x
J7o,Jc 7d,1,423,-0.391703674,-0.226728015,-0.226241623,0.164975659,0.985816,check
J7o,Jc 7d,2,244,-0.833235938,-0.453222099,-0.453222099,0.380013839,1.000000,check
J7o,Jc 7d,3,77,-1.328740220,-0.692187406,-0.692187406,0.636552815,1.000000,check
J7o,Jc 7d,4,9,-1.785545343,-0.900996760,-0.900996760,0.884548583,1.000000,check
J7s,Jc 7c,0,224,0.358669897,0.219772556,0.362328978,-0.138897341,0.098214,4x
J7s,Jc 7c,1,408,-0.043304622,-0.004131460,0.023795080,0.039173162,0.644608,check
J7s,Jc 7c,2,285,-0.414205882,-0.194562681,-0.193767912,0.219643201,0.978947,check
J7s,Jc 7c,3,75,-0.793267017,-0.370888447,-0.370888447,0.422378570,1.000000,check
J7s,Jc 7c,4,7,-1.394195773,-0.657540784,-0.657540784,0.736654989,1.000000,check
J7s,Jc 7c,5,1,-1.902942892,-0.868533606,-0.868533606,1.034409286,1.000000,check
J8o,Jc 8d,0,227,0.278051798,0.142483050,0.280229177,-0.135568748,0.048458,4x
J8o,Jc 8d,1,431,-0.167194866,-0.101265638,-0.091990975,0.065929228,0.772622,check
J8o,Jc 8d,2,260,-0.628246483,-0.338181757,-0.338181757,0.290064727,1.000000,check
J8o,Jc 8d,3,80,-1.123018787,-0.579359533,-0.579359533,0.543659255,1.000000,check
J8o,Jc 8d,4,2,-1.687969541,-0.855838256,-0.855838256,0.832131286,1.000000,check
J8s,Jc 8c,0,243,0.555191427,0.339470753,0.555800393,-0.215720674,0.020576,4x
J8s,Jc 8c,1,434,0.190443453,0.139082479,0.212780477,-0.051360974,0.317972,4x
J8s,Jc 8c,2,231,-0.194363627,-0.058242435,-0.053569367,0.136121192,0.917749,check
J8s,Jc 8c,3,80,-0.619437642,-0.266329156,-0.266329156,0.353108486,1.000000,check
J8s,Jc 8c,4,11,-1.337785364,-0.633123786,-0.633123786,0.704661578,1.000000,check
J8s,Jc 8c,5,1,-1.529776291,-0.590969870,-0.590969870,0.938806421,1.000000,check
J9o,Jc 9d,0,236,0.443271142,0.240216574,0.443625581,-0.203054568,0.012712,4x
J9o,Jc 9d,1,418,0.040816756,0.018790163,0.066437340,-0.022026593,0.387560,4x
J9o,Jc 9d,2,267,-0.424802269,-0.221892837,-0.221875953,0.202909432,0.996255,check
J9o,Jc 9d,3,69,-0.937301334,-0.469380622,-0.469380622,0.467920713,1.000000,check
J9o,Jc 9d,4,10,-1.419090559,-0.685441576,-0.685441576,0.733648983,1.000000,check
J9s,Jc 9c,0,264,0.768458586,0.472335162,0.768632203,-0.296123423,0.003788,4x
J9s,Jc 9c,1,394,0.408369063,0.272724707,0.414450435,-0.135644356,0.114213,4x
J9s,Jc 9c,2,271,0.010852815,0.072900927,0.091320000,0.062048112,0.675277,check
J9s,Jc 9c,3,62,-0.431756845,-0.141145304,-0.141145304,0.290611542,1.000000,check
J9s,Jc 9c,4,9,-0.965358196,-0.392563328,-0.392563328,0.572794869,1.000000,check
JTo,Jc Td,0,254,0.698536280,0.396923721,0.698536280,-0.301612559,0.000000,4x
JTo,Jc Td,1,407,0.278601205,0.163404016,0.282208112,-0.115197189,0.085995,4x
JTo,Jc Td,2,252,-0.166969687,-0.068373846,-0.065514937,0.098595841,0.900794,check
